C.D.S.  -  SIMBAD4 rel 1.7  -  2020.09.28CEST13:59:15

Vmag <= 6
---------

Number of objects : 5225

 #  |            identifier             |typ|        coord2 (FK5,J2000/2000)        |Mag U |Mag B |Mag V |Mag R |Mag I |     spec. type      |#bib |#not
----|-----------------------------------|---|---------------------------------------|------|------|------|------|------|---------------------|-----|----
40  |* 8 And                            |V* |23 17 44.6457610150 +49 00 55.087878455| 8.50 | 6.53 | 4.86 | 3.40 | 2.14 |M2.5IIIBa0.5         | 100 |   0
41  |* 11 And                           |PM*|23 19 29.8070096220 +48 37 31.161451208|     ~| 6.453| 5.440|     ~|     ~|K0III                |  59 |   0
42  |NGC 7686                           |OpC|23 29 41.3 +49 10 12                   |     ~| 6.79 | 5.6  |     ~|     ~|~                    |  18 |   0
43  |* 18 And                           |*  |23 39 08.3319478648 +50 28 18.232835105|     ~| 5.24 | 5.35 |     ~|     ~|B9Ve                 |  50 |   0
44  |HD 1279                            |*  |00 17 09.0437393806 +47 56 50.659653278| 5.36 | 5.764| 5.852|     ~|     ~|B8III                |  53 |   0
45  |HD 3574                            |*  |00 39 09.8934882394 +49 21 16.518933836|     ~| 7.072| 5.419|     ~|     ~|K5III                |  40 |   0
46  |* omi Cas                          |Be*|00 44 43.5186650 +48 17 03.713573      | 3.91 | 4.44 | 4.50 | 4.45 | 4.50 |B5IIIe               | 268 |   0
47  |* 68 Cas                           |*  |00 44 26.1908781086 +47 51 50.333752788|     ~| 5.520| 5.648|     ~|     ~|B5V                  | 100 |   0
48  |* phi And                          |Be*|01 09 30.12562 +47 14 30.4594          | 3.84 | 4.18 | 4.25 | 4.22 | 4.27 |B5IIIe               | 230 |   0
49  |* phi And A                        |*  |01 09 30.122064 +47 14 30.46772        |     ~| 4.54 | 4.294|     ~|     ~|~                    |   7 |   0
50  |* phi And B                        |*  |01 09 30.152592 +47 14 30.22678        |     ~| 5.55 | 5.62 |     ~|     ~|~                    |   1 |   0
51  |* 49 And                           |*  |01 30 06.1015438480 +47 00 26.186042565|     ~| 6.261| 5.261|     ~|     ~|G9III                |  70 |   0
52  |* b And                            |SB*|02 13 13.3221992348 +44 13 53.927938133|     ~| 6.320| 4.826|     ~|     ~|K4-III:              |  98 |   0
53  |* 12 Per                           |SB*|02 42 14.9141607582 +40 11 38.181760490| 5.65 | 5.51 | 4.92 | 4.42 | 4.12 |F9V                  | 173 |   0
54  |* pi. Per                          |*  |02 58 45.6685779114 +39 39 45.821190649| 4.88 | 4.76 | 4.70 | 4.60 | 4.56 |A2Vn                 |  76 |   0
55  |* rho Per                          |LP*|03 05 10.59385 +38 50 24.9943          | 6.83 | 5.04 | 3.39 | 1.59 |-0.03 |M4+IIIa              | 307 |   0
56  |* nu. Cyg                          |** |20 57 10.4190684 +41 10 01.699109      | 3.96 | 3.96 | 3.94 | 3.89 | 3.89 |A0IIIn               | 149 |   0
57  |* ksi Cyg                          |SB*|21 04 55.8622910 +43 55 40.264460      | 7.17 | 5.39 | 3.73 | 2.55 | 1.63 |K4.5Ib-II            | 296 |   0
58  |* 68 Cyg                           |SB*|21 18 27.1855667264 +43 56 45.388423736| 4.05 | 4.99 | 5.00 |     ~|     ~|O7.5IIIn((f))        | 359 |   0
59  |* g Cyg                            |PM*|21 29 26.9499484330 +46 32 26.102370986|     ~| 6.188| 5.217|     ~|     ~|K0-III               |  97 |   0
60  |* rho Cyg                          |PM*|21 33 58.8529848 +45 35 30.617851      | 5.47 | 4.91 | 4.02 | 3.31 | 2.81 |G8IIIFe-0.5          | 183 |   0
61  |V* W Cyg                           |LP*|21 36 02.4961902 +45 22 28.529170      | 8.21 | 6.97 | 5.38 | 3.03 | 0.89 |M4e-M6eIII           | 171 |   0
62  |* alf Lac                          |PM*|22 31 17.5013090 +50 16 56.968200      | 3.78 | 3.78 | 3.77 | 3.77 | 3.80 |A1V                  | 240 |   0
63  |* 4 Lac                            |*  |22 24 30.9907943432 +49 28 34.999228897| 4.33 | 4.67 | 4.58 | 4.45 | 4.35 |A0Ib                 | 171 |   0
64  |* 9 Lac                            |PM*|22 37 22.4172656 +51 32 42.438341      | 4.98 | 4.87 | 4.63 | 4.41 | 4.27 |A9VkA7mA6            |  70 |   0
65  |V* V424 Lac                        |LP*|22 56 25.9984806807 +49 44 00.751810487| 8.66 | 6.71 | 4.94 | 3.59 | 2.54 |K5Ib                 | 143 |   0
66  |V* R Cas                           |Mi*|23 58 24.8700291935 +51 23 19.691977266| 6.71 | 6.63 | 4.80 |     ~|     ~|M6.5-9e              | 678 |   0
67  |HD 2054                            |SB*|00 25 06.4107519494 +53 02 48.401121612| 5.38 | 5.654| 5.719|     ~|     ~|B9IV                 |  59 |   0
68  |HD 1976                            |SB*|00 24 15.6528002217 +52 01 11.697997412| 4.84 | 5.459| 5.580|     ~|     ~|B5IV                 | 136 |   1
69  |HD 2774                            |PM*|00 31 41.1569521911 +52 50 22.297608191|     ~| 6.765| 5.596|     ~|     ~|K2III                |  44 |   0
70  |* nu. Cas                          |V* |00 48 50.0171080068 +50 58 05.398156823|     ~| 4.789| 4.891|     ~|     ~|B9III                |  49 |   0
71  |* ksi Cas                          |SB*|00 42 03.8926969722 +50 30 45.071433667| 4.05 | 4.71 | 4.81 | 4.82 | 4.94 |B2V                  | 133 |   0
72  |* ups Per                          |PM*|01 37 59.5569926 +48 37 41.569533      | 6.29 | 4.85 | 3.57 | 2.61 | 1.96 |K3-IIICN0.5          | 217 |   0
73  |* 3 Per                            |*  |01 58 33.5064465895 +49 12 15.668599320|     ~| 6.706| 5.702|     ~|     ~|K0IV                 |  41 |   0
74  |HD 11031                           |** |01 49 15.54296 +47 53 48.9227          |     ~| 6.11 | 5.82 |     ~|     ~|A3V                  |  62 |   0
75  |* c And                            |PM*|02 19 16.7969275675 +47 22 47.913234056|     ~| 5.310| 5.310|     ~|     ~|A0V                  |  56 |   0
76  |* 14 Per                           |*  |02 44 05.1591849213 +44 17 49.348817414|     ~| 6.320| 5.435|     ~|     ~|G0Ib-IIaCa1          | 125 |   0
77  |HD 18482                           |V* |02 59 39.8788029591 +41 01 58.581981297|     ~| 7.326| 5.877|     ~|     ~|K2                   |  14 |   0
78  |* ome Per                          |*  |03 11 17.3816089 +39 36 41.701398      |     ~| 5.728| 4.607|     ~|     ~|K0III                |  96 |   0
79  |* bet Per                          |Al*|03 08 10.1324535 +40 57 20.328013      | 1.70 | 2.07 | 2.12 | 2.08 | 2.11 |B8V                  |1150 |   2
80  |HD 20346                           |*  |03 17 45.7550548653 +39 17 00.146769245|     ~| 6.005| 5.967|     ~|     ~|A2IV                 |  43 |   0
81  |* gam Cyg                          |V* |20 22 13.7018357 +40 15 24.044963      | 3.44 | 2.90 | 2.23 | 1.74 | 1.40 |F8Ib                 | 554 |   0
82  |HD 194193                          |*  |20 22 45.2960416342 +41 01 33.642812107| 9.51 | 7.53 | 5.93 |     ~|     ~|K7III                |  49 |   0
83  |HD 197392                          |*  |20 41 56.5018146928 +41 43 00.743088455|     ~| 5.550| 5.664|     ~|     ~|B8II-III             |  53 |   0
84  |HD 197139                          |PM*|20 40 03.1593557252 +43 27 31.956615707|     ~| 7.156| 5.965|     ~|     ~|K2III                |  25 |   0
