C.D.S.  -  SIMBAD4 rel 1.7  -  2020.09.28CEST13:59:15

Vmag <= 6
---------

Number of objects : 5225

 #  |            identifier             |typ|        coord2 (FK5,J2000/2000)        |Mag U |Mag B |Mag V |Mag R |Mag I |     spec. type      |#bib |#not
----|-----------------------------------|---|---------------------------------------|------|------|------|------|------|---------------------|-----|----
1471|HD 50277                           |*  |06 52 49.4710094560 +08 22 49.434264933|     ~| 5.996| 5.742|     ~|     ~|F0Vn                 |  58 |   0
1472|* 17 Mon                           |*  |06 47 19.8294628711 +08 02 14.123889454| 7.82 | 6.17 | 4.77 | 3.74 | 3.04 |K4III                | 110 |   0
1473|* 18 Mon                           |SB*|06 47 51.6475157606 +02 24 43.840168370| 6.62 | 5.58 | 4.47 | 3.68 | 3.13 |K0+III               | 147 |   0
1474|NGC 2301                           |OpC|06 51 45.0 +00 27 36                   |     ~| 6.30 | 6.0  |     ~|     ~|~                    | 138 |   0
1475|HD 50747                           |*  |06 54 24.6498043159 -01 07 37.060219374|     ~| 5.597| 5.435|     ~|     ~|A3V                  |  52 |   0
1476|HD 49434                           |gD*|06 48 19.0657567870 -01 19 08.128922715|     ~| 6.015| 5.731|     ~|     ~|F0V+                 |  83 |   0
1477|HD 49643                           |** |06 49 16.4095453451 -02 16 19.339273286| 5.18 | 5.644| 5.750|     ~|     ~|B8V                  |  60 |   1
1478|HD 49147                           |*  |06 46 39.0160572516 -10 06 26.488495374|     ~| 5.605| 5.646|     ~|     ~|B9.5V                |  49 |   0
1479|HD 49331                           |AB*|06 47 37.2209382504 -08 59 54.604344933|     ~| 6.860| 5.062|     ~|     ~|M1Ib-IIa             |  75 |   0
1480|* tet CMa                          |PM*|06 54 11.3997692336 -12 02 19.061054441| 7.20 | 5.51 | 4.08 | 2.95 | 2.17 |K3/4III              | 207 |   0
1481|HD 49048                           |*  |06 45 59.3941389290 -14 47 46.053460429|     ~| 5.358| 5.298|     ~|     ~|A1IV/V               |  34 |   0
1482|* 11 CMa                           |*  |06 46 51.0927194048 -14 25 33.504159875|     ~| 5.244| 5.272|     ~|     ~|B8/9III              |  44 |   0
1483|HD 49980                           |*  |06 50 21.7696554703 -17 05 04.420951286|     ~| 7.188| 5.771|     ~|     ~|K3III                |  10 |   0
1484|* iot CMa                          |bC*|06 56 08.2241266 -17 03 15.267468      | 3.62 | 4.297| 4.385| 6.40 |     ~|B3Ib/II              | 159 |   0
1485|HD 50644                           |PM*|06 53 18.8131358951 -19 01 57.728772669|     ~| 5.910| 5.648|     ~|     ~|A9/F0III             |  25 |   0
1486|M 41                               |OpC|06 46 01.0 -20 45 24                   |     ~| 4.89 | 4.5  |     ~|     ~|~                    | 248 |   0
1487|* pi. CMa                          |PM*|06 55 37.4315941360 -20 08 11.380998493|     ~| 5.027| 4.664|     ~|     ~|F1.5V                |  71 |   0
1488|* 17 CMa                           |*  |06 55 02.7380537841 -20 24 17.552700669|     ~| 5.833| 5.792|     ~|     ~|A2V                  |  29 |   0
1489|* 15 CMa                           |bC*|06 53 32.9071871 -20 13 27.317715      | 3.66 | 4.62 | 4.83 | 4.95 | 5.17 |B1Ib                 | 197 |   0
1490|HD 51283                           |*  |06 55 46.9270761574 -22 56 29.186807670| 4.36 | 5.12 | 5.30 |     ~|     ~|B2/3III              |  83 |   0
1491|* omi01 CMa                        |s*r|06 54 07.9531311183 -24 11 03.166770390| 7.59 | 5.60 | 3.87 | 2.70 | 1.88 |K2Iab                | 162 |   0
1492|C 0652-245                         |OpC|06 56 20.0 -24 43 48                   |     ~| 3.02 | 2.6  |     ~|     ~|~                    | 139 |   0
1493|HD 49131                           |Be*|06 45 31.1886574836 -30 56 56.326766828| 4.48 | 5.55 | 5.68 | 7.15 |     ~|B1.5Vne              |  68 |   0
1494|HD 49095                           |PM*|06 45 22.9404818738 -31 47 37.132104032|     ~| 6.396| 5.916|     ~|     ~|F6.5V                |  72 |   0
1495|* kap CMa                          |Be*|06 49 50.4593263 -32 30 30.522482      | 2.73 | 3.68 | 3.89 | 3.91 | 4.05 |B1.5Ve               | 270 |   0
1496|V* HZ CMa                          |Be*|06 50 23.3477914043 -31 42 21.807087882|     ~| 5.829| 5.747|     ~|     ~|B6IVe+A              |  81 |   0
1497|HD 50235                           |*  |06 50 52.3519384867 -34 22 02.347412642|     ~| 6.370| 4.989|     ~|     ~|K2/3III              |  27 |   0
1498|HD 50445                           |PM*|06 51 42.4213054238 -36 13 48.974966579|     ~| 6.120| 5.940|     ~|     ~|A3V                  |  25 |   0
1499|* x Pup                            |*  |06 47 21.3996503106 -37 55 46.904422066| 4.91 | 5.176| 5.260|     ~|     ~|B8V                  |  51 |   0
1500|HD 51000                           |V* |06 57 00.5217572803 +33 40 51.746628593|     ~| 6.806| 5.927|     ~|     ~|G5III                |  31 |   0
1501|HD 53329                           |PM*|07 06 11.5912228064 +34 28 26.286489458|     ~| 6.456| 5.551|     ~|     ~|G8IV                 |  44 |   0
1502|HD 53686                           |*  |07 07 22.3985926184 +34 00 33.440901384| 9.220| 7.440| 5.930|     ~|     ~|K4III                |  12 |   0
1503|* ome Gem                          |Ce*|07 02 24.7802014306 +24 12 55.607808445|     ~| 6.136| 5.181|     ~|     ~|G5IIa                | 111 |   0
1504|* zet Gem                          |cC*|07 04 06.5307903 +20 34 13.073871      | 5.20 | 4.58 | 3.79 |     ~| 3.082|G1Ib                 | 531 |   0
1505|V* NP Gem                          |LP?|07 02 25.5343620867 +17 45 19.872698564|     ~| 7.57 | 5.94 |     ~|     ~|M1                   |  42 |   0
1506|HD 52609                           |V* |07 02 33.2868641450 +16 40 28.016049752|     ~| 7.485| 5.848|     ~|     ~|M2III                |  25 |   0
1507|* 41 Gem                           |V* |07 00 15.8232357229 +16 04 44.401770290| 9.09 | 7.32 | 5.69 | 4.44 | 3.59 |K3-Ib                |  92 |   0
1508|HD 52556                           |*  |07 02 17.4935065780 +15 20 09.644895699| 7.990| 6.900| 5.750|     ~|     ~|K1III:               |  25 |   0
1509|HD 52976                           |*  |07 03 51.5984414306 +12 35 39.278054864|     ~| 7.559| 5.985|     ~|     ~|K5                   |  20 |   0
1510|HD 52960                           |*  |07 03 38.0718707995 +10 57 06.552136413|     ~| 6.512| 5.117|     ~|     ~|K3III                |  63 |   0
1511|HD 51104                           |** |06 56 25.8341992565 +09 57 23.702462645|     ~| 5.794| 5.897|     ~|     ~|B8Vn                 |  48 |   0
1512|HD 52913                           |*  |07 03 17.9177219793 +09 08 18.067373598|     ~| 6.081| 5.953|     ~|     ~|A3Vs                 |  29 |   0
1513|HD 53510                           |*  |07 05 39.0249371143 +09 11 08.854442048| 9.17 | 7.30 | 5.78 |     ~|     ~|M0III                |  31 |   0
1514|HD 51814                           |*  |06 58 57.0244761151 +03 36 08.481851225|     ~| 7.003| 5.947|     ~|     ~|K0II/III             |  19 |   1
1515|HD 53208                           |*  |07 04 05.2470664544 -05 19 26.316904441|     ~| 6.892| 5.602|     ~|     ~|G8IIICNII            |  18 |   0
1516|* 19 Mon                           |bC*|07 02 54.7766724 -04 14 21.237679      | 3.87 | 4.80 | 5.00 | 5.06 | 5.25 |B2Vn(e)              | 181 |   0
1517|HD 52666                           |V* |07 01 56.3830309749 -05 43 19.417109987|     ~| 6.850| 5.192|     ~|     ~|K5III                |  28 |   0
1518|HD 52312                           |*  |07 00 23.7563603730 -08 24 24.535669851| 5.58 | 5.864| 5.939|     ~|     ~|B8III                |  42 |   1
1519|HD 53974                           |** |07 06 40.76672 -11 17 38.4396          | 4.59 | 5.44 | 5.39 | 6.80 |     ~|B0IIIn               | 173 |   1
1520|* gam CMa                          |*  |07 03 45.4930485 -15 37 59.829971      | 3.52 | 4.00 | 4.12 | 4.13 | 4.23 |B8II                 | 170 |   0
1521|HD 54309                           |Be*|07 07 22.5872825901 -23 50 26.574480619| 4.83 | 5.68 | 5.83 | 5.83 | 5.95 |B3Vne                | 125 |   0
1522|* omi02 CMa                        |s*b|07 03 01.4721150 -23 49 59.852308      | 2.14 | 2.94 | 3.02 | 3.01 | 3.10 |B3Ia                 | 306 |   0
1523|HD 52018                           |*  |06 58 35.8983203688 -25 24 50.944786089|     ~| 5.420| 5.583|     ~|     ~|B2V                  |  48 |   0
1524|V* LS CMa                          |EB*|07 01 05.9463228651 -25 12 56.278550971|     ~| 5.471| 5.635|     ~|     ~|B2/3III/IV           |  46 |   0
1525|HD 51733                           |** |06 57 33.9110232 -24 37 50.995377      |     ~| 5.82 | 5.46 |     ~|     ~|F3V                  |  40 |   1
1526|* eps CMa                          |*  |06 58 37.54876 -28 58 19.5102          | 0.36 | 1.29 | 1.50 | 1.59 | 1.80 |B1.5II               | 463 |   1
1527|* sig CMa                          |LP*|07 01 43.1477846 -27 56 05.389774      | 7.08 | 5.20 | 3.47 | 2.15 | 1.15 |K5Ib                 | 165 |   0
1528|* t Pup                            |** |06 58 25.0915091752 -34 06 42.098810273|     ~| 4.908| 5.068|     ~|     ~|B4IV/V               |  47 |   0
1529|* D Pup                            |*  |07 07 07.0777675549 -40 53 35.768863492|     ~| 5.625| 5.783| 7.12 |     ~|B3V                  |  37 |   0
1530|* C Pup                            |** |07 04 02.7940656 -42 20 14.206459      |     ~| 5.400| 5.191|     ~|     ~|A3mA3-F0             |  60 |   0
1531|HD 53705                           |PM*|07 03 57.3152423334 -43 36 28.921620874|     ~| 5.94 | 5.28 | 5.05 | 4.71 |G1.5V                | 170 |   0
1532|* 64 Aur                           |*  |07 18 02.2141995430 +40 53 00.224781946| 6.170| 6.040| 5.870|     ~| 5.69 |A5Vn                 |  50 |   0
1533|* 63 Aur                           |*  |07 11 39.3260802974 +39 19 13.984403315|     ~| 6.353| 4.886|     ~|     ~|K4III                | 101 |   0
1534|* tau Gem                          |** |07 11 08.3704210 +30 14 42.583108      | 7.08 | 5.68 | 4.42 | 3.45 | 2.82 |K2III                | 141 |   1
1535|* 53 Gem                           |V* |07 15 57.1676627619 +27 53 50.717051951| 9.34 | 7.34 | 5.71 |     ~|     ~|M1III                |  32 |   0
1536|* 47 Gem                           |*  |07 11 23.0672072902 +26 51 23.725446956| 5.990| 5.860| 5.750|     ~|     ~|A4IV                 |  45 |   0
1537|* 52 Gem                           |PM*|07 14 41.9784647115 +24 53 05.942007537| 9.21 | 7.38 | 5.82 |     ~|     ~|M1III                |  33 |   0
1538|* 48 Gem                           |*  |07 12 26.3764838211 +24 07 42.936318517| 6.30 | 6.21 | 5.85 |     ~|     ~|F5III-IV             |  65 |   0
1539|* lam Gem                          |PM*|07 18 05.5801227701 +16 32 25.396438474|     ~| 3.674| 3.559|     ~|     ~|A4IV                 | 231 |   0
1540|* 51 Gem                           |LP*|07 13 22.2750859120 +16 09 32.289016337| 8.48 | 6.66 | 5.00 |     ~|     ~|M4III                |  91 |   0
1541|* 45 Gem                           |PM*|07 08 22.0391813881 +15 55 50.435504329|     ~| 6.507| 5.476|     ~|     ~|G8III                |  45 |   0
1542|HD 55730                           |PM*|07 14 32.6208334951 +12 06 56.966441517|     ~| 6.716| 5.702|     ~|     ~|G6III                |  30 |   0
1543|HD 54079                           |*  |07 07 49.4885754787 +07 28 16.374517597|     ~| 6.915| 5.739|     ~|     ~|K0III:               |  41 |   0
1544|HD 56031                           |V* |07 15 39.4294767946 +07 58 39.882905812| 9.13 | 7.42 | 5.82 |     ~|     ~|M4III                |  34 |   0
1545|HD 55751                           |*  |07 14 20.0640650009 +03 06 41.076625342|     ~| 6.561| 5.343|     ~|     ~|K0III                |  42 |   0
1546|* del Mon                          |*  |07 11 51.8607792 -00 29 33.970825      |     ~| 4.14 | 4.15 |     ~|     ~|A0IV                 |  87 |   0
1547|* 21 Mon                           |dS*|07 11 23.6157510224 -00 18 06.943326826|     ~| 5.715| 5.428|     ~|     ~|F2IV                 | 103 |   0
1548|HD 55775                           |*  |07 14 10.8499824925 -03 54 06.403006861|     ~| 7.55 | 5.94 |     ~|     ~|K5III                |  21 |   0
1549|* 20 Mon                           |PM*|07 10 13.6817668816 -04 14 13.582860775| 6.73 | 5.95 | 4.92 | 4.13 | 3.61 |K0III                | 132 |   0
1550|HD 55832                           |*  |07 14 15.5196890917 -09 56 51.118318103|     ~| 7.418| 5.882|     ~|     ~|K1III                |  18 |   0
1551|HD 56207                           |*  |07 15 43.2417197309 -10 35 00.969708242|     ~| 7.116| 5.940|     ~|     ~|K0III                |  15 |   0
1552|HD 55589                           |*  |07 13 07.1948077493 -11 15 04.820247263|     ~| 7.251| 5.752|     ~|     ~|K4III                |  17 |   0
1553|HD 56405                           |*  |07 16 14.5534169283 -15 35 08.472430352|     ~| 5.519| 5.447|     ~|     ~|A1V                  |  68 |   0
1554|HD 55344                           |*  |07 11 41.6047393506 -20 52 59.016631466|     ~| 5.784| 5.825|     ~|     ~|A0IV/V               |  33 |   0
1555|HD 55762                           |V* |07 13 24.0253469376 -22 40 27.268941676|     ~| 7.456| 5.960|     ~|     ~|K4III                |  12 |   0
1556|* 145 CMa                          |*  |07 16 36.8346991844 -23 18 56.112993058| 8.37 | 6.50 | 4.79 | 3.47 | 2.51 |K3Ib-                |  84 |   0
1557|HD 56578                           |PM*|07 16 38.3567433542 -23 18 39.414281913|     ~| 6.21 | 5.79 |     ~|     ~|A5mA5-A9             |  18 |   0
1558|* del CMa                          |s*y|07 08 23.4840514 -26 23 35.518484      | 3.06 | 2.52 | 1.84 | 1.33 | 1.00 |F8Ia                 | 326 |   0
1559|V* LZ CMa                          |bL*|07 09 43.0228613835 -25 13 51.716243043| 4.75 | 5.53 | 5.69 |     ~|     ~|B2V                  |  48 |   0
1560|* 26 CMa                           |Pu*|07 12 12.2148338369 -25 56 33.310655792| 5.03 | 5.736| 5.897|     ~|     ~|B2IV/V               |  73 |   0
1561|* ome CMa                          |Be*|07 14 48.6538664 -26 46 21.609714      | 2.90 | 3.64 | 3.82 | 3.80 | 3.90 |B2.5Ve               | 330 |   0
1562|* 29 CMa                           |bL*|07 18 40.3796893709 -24 33 31.311819488| 3.80 | 4.80 | 4.95 | 4.95 | 5.08 |O7Iafpvar            | 398 |   0
1563|* tau CMa                          |bL*|07 18 42.4864191 -24 57 15.741299      | 3.26 | 4.25 | 4.40 | 4.44 | 4.62 |O9II                 | 399 |   0
1564|* 27 CMa                           |Be*|07 14 15.2119175 -26 21 09.031206      | 3.76 | 4.45 | 4.65 | 4.64 | 4.73 |B4Ve_sh              | 220 |   0
1565|NGC 2362                           |OpC|07 18 41.0 -24 57 18                   |     ~|     ~| 4.1  |     ~|     ~|~                    | 361 |   0
1566|HD 56160                           |PM*|07 14 51.1614115643 -27 02 16.778591118|     ~| 6.823| 5.582|     ~|     ~|K5III                |  26 |   0
1567|HD 55070                           |*  |07 10 19.3205689114 -27 29 29.463469737|     ~| 6.441| 5.448|     ~|     ~|G9III                |  20 |   0
1568|HD 56618                           |*  |07 16 34.9931455547 -27 52 52.245342396| 8.12 | 6.24 | 4.64 | 3.16 | 1.91 |M2III                |  34 |   0
1569|NAME CMa Dwarf Galaxy              |G  |07 12 36.0 -27 40 00                   |     ~|     ~|-0.1  |     ~|     ~|~                    | 188 |   1
1570|HD 56342                           |*  |07 15 21.0677816408 -30 41 11.211515191|     ~| 5.182| 5.337|     ~|     ~|B2V                  |  58 |   0
1571|C 0712-310                         |OpC|07 15 20.0 -30 41 00                   |     ~|     ~| 3.6  |     ~|     ~|~                    |  47 |   0
1572|HD 55718                           |** |07 12 25.82296 -36 32 39.7835          |     ~| 5.83 | 5.97 |     ~|     ~|B2.5V+B9V            |  48 |   1
1573|HD 56779                           |*  |07 16 49.4090288859 -36 35 33.475486547| 4.17 | 4.849| 5.009|     ~|     ~|B3V                  |  50 |   0
1574|* ups01 Pup                        |Be*|07 18 18.3933493 -36 44 02.232922      | 3.78 | 4.57 | 4.67 | 4.57 | 4.62 |B2V+B3IVne           | 140 |   0
1575|* ups02 Pup                        |Be*|07 18 38.1863207637 -36 44 33.855733543| 4.28 | 4.95 | 5.11 | 5.17 | 5.38 |B3Vne                | 104 |   1
1576|Cl Collinder 135                   |OpC|07 17 17.0 -36 49 00                   |     ~| 2.69 | 2.1  |     ~|     ~|~                    |  62 |   0
1577|* pi. Pup                          |LP*|07 17 08.55678 -37 05 50.8962          | 5.57 | 4.32 | 2.70 | 1.46 | 0.55 |K4III                | 102 |   0
1578|* A Pup                            |Ce*|07 08 51.0682638 -39 39 20.357948      | 3.96 | 4.65 | 4.83 | 4.90 | 5.05 |B3IV/V               |  59 |   0
1579|HD 56733                           |SB*|07 16 31.8584855253 -38 19 08.147414954| 5.07 | 5.657| 5.797|     ~|     ~|B4V                  |  37 |   0
1580|* F Pup                            |*  |07 18 33.5127135624 -39 12 37.020151921|     ~| 5.261| 5.243|     ~|     ~|A0V                  |  29 |   0
1581|* E Pup                            |SB*|07 12 15.8091084326 -40 29 55.731520120|     ~| 5.38 | 5.31 |     ~|     ~|A1/2V:+ApSrEu        |  94 |   0
1582|HD 56410                           |*  |07 14 57.1532306674 -41 25 35.019865682|     ~| 5.790| 5.942|     ~|     ~|B8pSi                |  28 |   0
1583|* 66 Aur                           |*  |07 24 08.4667871406 +40 40 20.598043662|     ~| 6.434| 5.188|     ~|     ~|K0.5IIIa             |  96 |   0
1584|* 65 Aur                           |PM*|07 22 02.6174448601 +36 45 38.095738589|     ~| 6.206| 5.120|     ~|     ~|G8III                |  76 |   0
1585|* rho Gem                          |** |07 29 06.71887 +31 47 04.3773          | 4.48 | 4.50 | 4.18 | 3.86 | 3.67 |F1V                  | 310 |   0
1586|* 64 Gem                           |PM*|07 29 20.4407702733 +28 07 05.796208551|     ~| 5.181| 5.064|     ~|     ~|A4V                  |  73 |   0
1587|* b Gem                            |SB*|07 29 48.7619956059 +27 54 58.061661446|     ~| 6.123| 5.010|     ~|     ~|K2III                |  73 |   0
1588|* iot Gem                          |** |07 25 43.5953160 +27 47 53.092849      | 5.67 | 4.83 | 3.79 | 3.02 | 2.52 |G9IIIb               | 199 |   0
1589|* 59 Gem                           |*  |07 24 33.4531249469 +27 38 16.282812683|     ~| 6.110| 5.759|     ~|     ~|F0:III:              |  33 |   0
1590|* 57 Gem                           |PM*|07 23 28.5112255926 +25 03 01.913058212|     ~| 5.933| 5.022|     ~|     ~|G8III                |  88 |   0
1591|* del Gem                          |SB*|07 20 07.3797829 +21 58 56.337741      | 3.91 | 3.87 | 3.53 | 3.17 | 2.98 |F2VkF0mF0            | 228 |   0
1592|* 63 Gem                           |SB*|07 27 44.3528343536 +21 26 43.186700782|     ~| 5.62 | 5.24 |     ~|     ~|F3V                  | 120 |   0
1593|* 56 Gem                           |PM*|07 21 56.8606307616 +20 26 37.175829516|     ~| 6.630| 5.080|     ~|     ~|M0III                |  42 |   0
1594|* 61 Gem                           |** |07 26 56.3285216387 +20 15 27.197320554|     ~| 6.236| 5.935|     ~|     ~|F2Vn                 |  41 |   0
1595|* 6 CMi                            |V* |07 29 47.7817252 +12 00 23.634733      |     ~| 5.812| 4.531|     ~|     ~|K1III                | 107 |   0
1596|* 1 CMi                            |*  |07 24 58.1797130190 +11 40 10.284327847|     ~| 5.461| 5.361|     ~|     ~|A5IV                 |  40 |   0
1597|* eps CMi                          |*  |07 25 38.8983779502 +09 16 33.926803399|     ~| 5.990| 4.986|     ~|     ~|G6IIb                |  92 |   0
1598|* gam CMi                          |SB*|07 28 09.7930317295 +08 55 31.907956790| 7.26 | 5.73 | 4.30 | 3.19 | 2.40 |K3-IIIFe-0.5         |  95 |   0
1599|* bet CMi                          |Be*|07 27 09.0417373 +08 17 21.536745      | 2.52 | 2.80 | 2.89 | 2.90 | 2.96 |B8Ve                 | 361 |   0
1600|HD 57006                           |PM*|07 19 47.6450474482 +07 08 34.614327767|     ~| 6.429| 5.910|     ~|     ~|F8IV                 |  78 |   0
1601|* eta CMi                          |*  |07 28 02.0746842072 +06 56 31.093845944|     ~| 5.45 | 5.22 |     ~|     ~|F0III                |  52 |   0
1602|HD 56989                           |*  |07 19 22.3757114798 +02 44 26.436257543|     ~| 6.948| 5.887|     ~|     ~|K0III                |  29 |   0
1603|HD 57608                           |*  |07 22 03.4786497202 +00 10 37.637188337| 5.62 | 5.897| 5.971|     ~|     ~|B9III                |  37 |   0
1604|HD 59311                           |*  |07 29 18.6679945434 -01 54 19.177169252|     ~| 7.072| 5.572|     ~|     ~|K3/4III              |  35 |   0
1605|HD 57749                           |dS*|07 22 25.3897441224 -05 58 58.179930999|     ~| 6.166| 5.816|     ~|     ~|F2III                |  47 |   0
1606|HD 58526                           |*  |07 25 51.2000291731 -05 46 29.859770938|     ~| 6.895| 5.962|     ~|     ~|G0/2Ib               |  57 |   0
1607|HD 59380                           |SB*|07 29 25.6609863875 -07 33 04.450065996|     ~| 6.327| 5.853|     ~|     ~|F6V                  |  85 |   0
1608|HD 59381                           |V* |07 29 22.1081690966 -10 19 35.998246803|     ~| 7.311| 5.706|     ~|     ~|K4/5III              |  32 |   0
1609|BD-11 1951                         |** |07 27 51.66072 -11 33 24.7075          |     ~| 6.406| 5.868|     ~|     ~|F8III+B3V            |  56 |   1
1610|HD 57478                           |*  |07 20 58.2849006336 -14 21 37.758499802|     ~| 6.544| 5.584|     ~|     ~|G8/K0III             |  26 |   0
1611|HD 58461                           |PM*|07 25 08.3154665325 -13 45 07.118980946|     ~| 6.20 | 5.78 |     ~|     ~|F5VFe-0.8CH-0.5      |  79 |   0
1612|V* R CMa                           |Al*|07 19 28.1782479807 -16 23 42.900652548| 6.09 | 6.05 | 5.70 |     ~|     ~|F2III/IV             | 263 |   0
1613|V* NR CMa                          |dS*|07 27 07.99004 -17 51 53.5012          |     ~| 5.923| 5.625|     ~|     ~|F2V                  |  45 |   1
1614|HD 58343                           |Be*|07 24 40.1874154193 -16 12 05.299273325| 4.52 | 5.15 | 5.19 | 5.05 | 5.06 |B2Vne                | 201 |   0
1615|HD 57821                           |*  |07 22 13.5290106 -19 00 59.764599      | 4.53 | 4.893| 4.950|     ~|     ~|B5II/III             |  58 |   0
1616|HD 59136                           |*  |07 27 42.9386854343 -22 51 33.078313076| 5.48 | 5.86 | 5.97 |     ~|     ~|B5III                |  31 |   0
1617|HD 59612                           |*  |07 29 51.4121211636 -23 01 27.437916738| 5.27 | 5.10 | 4.86 | 4.58 | 4.38 |A5/7Iab/II           | 119 |   1
1618|HD 58978                           |Be*|07 26 59.4826767357 -23 05 09.683936209| 4.51 | 5.45 | 5.56 | 7.05 |     ~|B0.5IVe              | 212 |   0
1619|HD 57146                           |*  |07 18 51.2731705343 -26 35 09.081810126|     ~| 6.258| 5.288|     ~|     ~|G2Ib                 |  75 |   0
1620|HD 58612                           |*  |07 25 25.2679631099 -25 13 03.953653059| 5.3  | 5.671| 5.782|     ~|     ~|B5III                |  49 |   0
1621|V* MZ CMa                          |LP*|07 21 04.3318033219 -25 53 29.916865462|     ~| 7.475| 5.886|     ~|     ~|M3-III-IIIa          |  32 |   0
1622|V* HQ CMa                          |Al*|07 20 54.9155346956 -26 57 49.809767462|     ~| 5.816| 5.986|     ~|     ~|B3V                  |  44 |   1
1623|HD 58215                           |V* |07 23 28.9919630199 -27 50 03.461025522|     ~| 6.890| 5.356|     ~|     ~|K4III                |  18 |   0
1624|HD 58155                           |Be*|07 23 00.6973664828 -31 55 25.602326421| 4.60 | 5.28 | 5.43 |     ~|     ~|B3V                  |  69 |   0
1625|HD 58535                           |*  |07 24 43.85413 -31 48 32.0625          |     ~| 6.358| 5.280|     ~|     ~|K1+III               |  32 |   0
1626|HD 59550                           |*  |07 29 04.9152652496 -31 27 22.380912860| 4.82 | 5.585| 5.768|     ~|     ~|B2IV                 |  48 |   0
1627|HD 59256                           |*  |07 27 59.1596857956 -29 09 21.241383459|     ~| 5.492| 5.542|     ~|     ~|B9V(pSi)             |  58 |   0
1628|* eta CMa                          |s*b|07 24 05.70228 -29 18 11.1798          | 1.65 | 2.37 | 2.45 | 2.38 | 2.44 |B5Ia                 | 354 |   0
1629|HD 58286                           |*  |07 23 31.8951390800 -32 12 07.424159581| 4.52 | 5.21 | 5.39 |     ~|     ~|B2/3II/III           |  51 |   0
1630|HD 59026                           |*  |07 26 42.4657649082 -34 08 26.498776699| 5.04 | 5.730| 5.884|     ~|     ~|B3/5V                |  38 |   0
1631|CD-31 4590                         |** |07 28 51.15322 -31 50 54.2526          |     ~| 5.78 | 5.94 |     ~|     ~|~                    |   9 |   1
1632|* y Pup                            |XB*|07 29 05.6954496917 -38 48 43.431817987|     ~| 5.243| 5.395|     ~|     ~|B3V                  |  73 |   0
1633|HD 61294                           |V* |07 40 14.6934270943 +38 20 40.349234858| 9.31 | 7.36 | 5.73 |     ~|     ~|M0III                |  29 |   0
1634|* 70 Gem                           |*  |07 38 32.8637245621 +35 02 54.792414123|     ~| 6.501| 5.572|     ~|     ~|G8III                |  35 |   0
1635|* omi Gem                          |PM*|07 39 09.9362454307 +34 35 03.480603218| 5.41 | 5.30 | 4.90 | 4.51 | 4.29 |F3III                |  94 |   0
1636|* alf Gem                          |** |07 34 35.87319 +31 53 17.8160          | 1.64 | 1.62 | 1.58 | 1.51 | 1.52 |A1V+A2Vm             | 237 |   0
1637|* alf Gem A                        |SB*|07 34 35.862828 +31 53 17.79429        |     ~|     ~| 1.9  |     ~|     ~|A1.5IV+              | 380 |   0
1638|* alf Gem B                        |SB*|07 34 36.100452 +31 53 18.57117        |     ~|     ~| 3.0  |     ~|     ~|kA0hA2:mA1IVs        | 285 |   1
1639|HD 60318                           |** |07 35 08.8012534577 +30 57 39.329972792|     ~| 6.366| 5.347|     ~|     ~|K0III                | 111 |   1
1640|* ups Gem                          |PM*|07 35 55.3506173748 +26 53 44.711452380| 7.54 | 5.60 | 4.06 | 2.82 | 1.91 |M0III                | 192 |   0
1641|HD 61603                           |*  |07 40 58.5183721060 +23 01 06.713548788|     ~| 7.458| 5.906|     ~|     ~|K5III                |  38 |   0
1642|HD 59686                           |PM*|07 31 48.4041544929 +17 05 09.769455527|     ~| 6.574| 5.442|     ~|     ~|K2III                |  86 |   1
1643|* f Gem                            |** |07 39 28.5933520383 +17 40 28.271662888| 8.53 | 6.61 | 5.05 |     ~|     ~|K5.5III              |  75 |   0
1644|* 68 Gem                           |** |07 33 36.4815791 +15 49 35.978923      |     ~| 5.310| 5.263|     ~|     ~|A1Vp                 |  71 |   0
1645|HD 60803                           |SB*|07 36 34.7057582002 +05 51 43.822764843|     ~| 6.479| 5.888|     ~|     ~|G0V                  |  74 |   0
1646|* alf CMi                          |SB*|07 39 18.11950 +05 13 29.9552          | 0.82 | 0.79 | 0.37 |-0.05 |-0.28 |F5IV-V+DQZ           |1765 |   0
1647|* del02 CMi                        |*  |07 33 11.6656603150 +03 17 25.368828701|     ~| 5.895| 5.571|     ~|     ~|F0/2IV/V             |  53 |   0
1648|* del03 CMi                        |*  |07 34 15.8922578665 +03 22 18.213542722|     ~| 5.789| 5.817|     ~|     ~|B9V                  |  52 |   0
1649|* del01 CMi                        |*  |07 32 05.9485437370 +01 54 52.130058865|     ~| 5.448| 5.233|     ~|     ~|F0V                  |  76 |   0
1650|* 25 Mon                           |dS*|07 37 16.6909314811 -04 06 39.526848763|     ~| 5.570| 5.131|     ~|     ~|F6III                | 130 |   0
1651|V* U Mon                           |RV*|07 30 47.4734611972 -09 46 36.788534824| 8.22 | 7.00 | 5.82 |     ~|     ~|G8/K0Ib/II           | 193 |   0
1652|* alf Mon                          |PM*|07 41 14.8325688 -09 33 04.071083      | 5.83 | 4.95 | 3.93 | 3.16 | 2.64 |G9.5III-IIIbFe-0.5   | 185 |   0
1653|HD 59984                           |PM*|07 32 05.7631181661 -08 52 52.773345653|     ~| 6.431| 5.916|     ~|     ~|G0VFe-1.6CH-0.5      | 187 |   0
